epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9564,2.71837,4.20757,1.56654,0.86273,0.04574,0.02622,0.01203,2.38706,2.8648,1.41748,0.000165751,0.000165751,0.000165751
2,31.1011,2.47725,3.01973,1.44222,0.8733,0.05159,0.03692,0.01909,2.26498,2.4368,1.36247,0.000321448,0.000321448,0.000321448
3,45.1221,2.43814,2.74717,1.39289,0.81324,0.06534,0.04473,0.02462,2.20881,2.29388,1.33561,0.000466145,0.000466145,0.000466145
4,58.8343,2.35312,2.58905,1.36724,0.62895,0.07262,0.05133,0.02891,2.14584,2.1907,1.32351,0.0004505,0.0004505,0.0004505
5,72.8149,2.35247,2.48557,1.37078,0.53376,0.07085,0.05247,0.03138,2.10883,2.16067,1.31193,0.000434,0.000434,0.000434
6,86.2132,2.25062,2.36124,1.32077,0.63525,0.07263,0.06224,0.0367,2.08257,2.10696,1.29811,0.0004175,0.0004175,0.0004175
7,99.9706,2.20078,2.31974,1.31213,0.55461,0.07974,0.07363,0.04264,2.06512,2.04389,1.29621,0.000401,0.000401,0.000401
8,113.755,2.1754,2.22902,1.30438,0.45031,0.07443,0.07322,0.04348,1.97255,1.97689,1.26592,0.0003845,0.0003845,0.0003845
9,127.741,2.19181,2.23094,1.30299,0.46091,0.07492,0.06749,0.04109,2.02214,1.99344,1.30235,0.000368,0.000368,0.000368
10,141.434,2.11428,2.19823,1.28585,0.46496,0.07403,0.07034,0.04247,1.97135,1.95923,1.27333,0.0003515,0.0003515,0.0003515
11,155.567,2.12725,2.16874,1.28192,0.45064,0.0792,0.07363,0.04456,1.99752,1.96123,1.28513,0.000335,0.000335,0.000335
12,169.548,2.08253,2.12511,1.27478,0.46562,0.07692,0.08807,0.05719,1.95736,1.9206,1.26356,0.0003185,0.0003185,0.0003185
13,183.367,2.06236,2.08706,1.2544,0.36872,0.09209,0.08274,0.05649,1.93733,1.91034,1.25666,0.000302,0.000302,0.000302
14,197.352,2.08399,2.10884,1.28297,0.25478,0.1173,0.08382,0.05254,1.93431,1.88073,1.25627,0.0002855,0.0002855,0.0002855
15,211.389,2.02551,2.02919,1.25815,0.30596,0.12681,0.09112,0.05987,1.9595,1.88558,1.25283,0.000269,0.000269,0.000269
16,225.112,2.05416,2.02875,1.2615,0.34009,0.11547,0.09132,0.05336,1.92262,1.88438,1.25227,0.0002525,0.0002525,0.0002525
17,238.518,1.98901,1.99563,1.24792,0.22319,0.13324,0.09907,0.06233,1.88145,1.858,1.23382,0.000236,0.000236,0.000236
18,252.181,1.99458,1.97075,1.23789,0.32504,0.1155,0.09464,0.05935,1.89829,1.88264,1.23794,0.0002195,0.0002195,0.0002195
19,265.968,1.96435,1.96337,1.24469,0.33582,0.12616,0.10291,0.06951,1.86634,1.84404,1.22887,0.000203,0.000203,0.000203
20,279.652,2.0113,1.94132,1.23756,0.26785,0.12058,0.09286,0.06112,1.89036,1.92591,1.22217,0.0001865,0.0001865,0.0001865
21,313.822,1.9336,2.01813,1.23253,0.29359,0.12459,0.1046,0.0675,1.8524,1.86616,1.22026,0.00017,0.00017,0.00017
22,326.961,1.9119,2.00891,1.20526,0.28013,0.11524,0.0989,0.06703,1.88788,1.83995,1.22986,0.0001535,0.0001535,0.0001535
23,340.341,1.87299,1.95328,1.22172,0.39,0.10859,0.1115,0.07404,1.85474,1.7995,1.22028,0.000137,0.000137,0.000137
24,353.485,1.86842,1.92624,1.20235,0.27008,0.12108,0.10825,0.07244,1.86072,1.83677,1.22406,0.0001205,0.0001205,0.0001205
25,365.567,1.86994,1.92881,1.21218,0.26892,0.11383,0.10868,0.07269,1.84835,1.79256,1.22326,0.000104,0.000104,0.000104
26,377.377,1.86617,1.89452,1.19317,0.26475,0.11979,0.11073,0.07354,1.8405,1.81451,1.22147,8.75e-05,8.75e-05,8.75e-05
27,389.001,1.85563,1.86272,1.19128,0.28422,0.11505,0.11324,0.0694,1.85455,1.80454,1.22494,7.1e-05,7.1e-05,7.1e-05
28,401.496,1.88524,1.89549,1.20896,0.35462,0.11967,0.11114,0.07471,1.83108,1.81137,1.20635,5.45e-05,5.45e-05,5.45e-05
29,413.39,1.87202,1.88806,1.21392,0.35408,0.12126,0.11408,0.07595,1.82209,1.8089,1.20746,3.8e-05,3.8e-05,3.8e-05
30,425.405,1.84972,1.85307,1.2019,0.37077,0.11472,0.11373,0.07564,1.8291,1.80636,1.21048,2.15e-05,2.15e-05,2.15e-05
